language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,COGNATES,page_num,
acu,88,88,0.697,to tie,atar/amarrar,"ingkiátin, jíniuktin ",,,
agr,89,89,0.695,to see,see,wainat,,,
hub,89,89,0.695,to see,ver,iistasa/iiamu/iit,,p219,
hub,89,89,0.695,to see,ver,wainkatsa/wainkamu/wainat,,p219,
jiv,89,89,0.695,to see,ver,lis/listin,,p656,
acu,89,89,0.695,to see,ver,"jíistin, wáinkatin. ",,,
agr,90,89,0.695,sweet,sweet, yuminchak,,,
hub,90,89,0.695,sweet,dulce,yumin,SWEET1,p161,
jiv,90,89,0.695,sweet,dulce,yumin/yumintaku,SWEET1,p239,
acu,90,89,0.695,sweet,dulce,yumín,,,
agr,91,91,0.694,rope,"rope, cord",wa'sakɨa,,,
hub,91,91,0.694,rope,soga,naek/naekan,,p211,
jiv,91,91,0.694,rope,soga,yarank kaanpuram,,p599,
jiv,91,91,0.694,rope,soga,chapik,,p599,
acu,91,91,0.694,rope,,,,p497,
agr,92,91,0.694,shade/shadow,"shade, shadow",bikintu,,,
hub,92,91,0.694,shade/shadow,sombra,ejet/ejetan,,p211,
hub,92,91,0.694,shade/shadow,sombra,mikintru/mikintrun,SHADOW1,p211,
jiv,92,91,0.694,shade/shadow,sombra,kirit,,p601,
jiv,92,91,0.694,shade/shadow,sombra,kashi tee,,p601,
jiv,92,91,0.694,shade/shadow,sombra,mikintiar,SHADOW1,p601,
acu,92,91,0.694,shade/shadow,sombra,"míkin, míkint. ",,,
agr,93,91,0.694,bird,bird,pishak,,,
hub,93,91,0.694,bird,ave,kuntin/kuntinan,,p138,
hub,93,91,0.694,bird,ave,nanamtin/nanamtinam,BIRD1,p138,
jiv,93,91,0.694,bird,ave,nanamtin,BIRD1,p86,
jiv,93,91,0.694,bird,ave,chinki,,p86,
acu,93,91,0.694,bird,ave,nanámtin,,,
agr,94,91,0.694,salt,salt,wɨɨ,,,
hub,94,91,0.694,salt,sal,wee/ween,SALT1,p207,
jiv,94,91,0.694,salt,sal,kachi,,p584,
jiv,94,91,0.694,salt,sal,sau,,p584,
jiv,94,91,0.694,salt,sal,wee,SALT1,p584,
acu,94,91,0.694,salt,salt,wee,,,
agr,95,91,0.694,small,"small, little",piipich,,,
hub,95,91,0.694,small,pequeño,shitapach,,p196,
hub,95,91,0.694,small,pequeño,yairach,,p196,
jiv,95,91,0.694,small,pequeño,uchich,,p520,
jiv,95,91,0.694,small,pequeño,ishitiupach,,p520,
acu,95,91,0.694,small,pequeño,"túupich, trúpich, tiúpich, ",,,
agr,96,96,0.692,wide,"wide, broad","túumpich, washik, yáirach. ",,,
hub,96,96,0.692,wide,ancho,wagkaram,,p134,
jiv,96,96,0.692,wide,ancho,wánkaram,,p56,
acu,96,96,0.692,wide,ancho,wangkáram,,p357,
agr,97,97,0.691,star,star,yaya,,,
hub,97,97,0.691,star,estrella,yaa/yaan,,p166,
jiv,97,97,0.691,star,estrella,tsútsamiankú yáa,,p283,
acu,97,97,0.691,star,estrella,yaa,,,
agr,98,97,0.691,in,"inside, in",i'nitak,,,
hub,98,97,0.691,in,NA,NA,,,
jiv,98,97,0.691,in,en,initia,,p253,
acu,98,97,0.691,in,en,"-num, -nam",,,
agr,99,99,0.69,hard,hard,ka'chu-ham,,,
hub,99,99,0.69,hard,duro,katsuram,HARD1,p161,
jiv,99,99,0.69,hard,duro,katsuram/kakaram,HARD1,p240,
jiv,99,99,0.69,hard,duro,tee/tej,,p240,
acu,99,99,0.69,hard,duro,"pisu, káte. ",,,
agr,100,100,0.688,to crush/grind,"crush, grind",chanuut,,,
agr,100,100,0.688,to crush/grind,"crush, grind",dɨkɨɨt,,,
hub,100,100,0.688,to crush/grind,moler,nekegtasa/nekeamu/neket,,p187,
hub,100,100,0.688,to crush/grind,moler,naurtasa/naurmamu/naut,,p187,
jiv,100,100,0.688,to crush/grind,moler,nekenk,,p459,
acu,100,100,0.688,to crush/grind,moler,"nakéngtin, nekéngtin. ",,p454,
