language,adapted-concept-num,concept-number,composite-score,concepticonID,leipzig-jakarta-concept,concept-original-reference,IPA,cognates,comments
hub,58,58,0.725,3626,to know,saber/conocer,nekatsa/nekamu/nekat,KNOW1,
jiv,58,58,0.725,3626,to know,conocer,nekátin,KNOW2,
jiv,58,58,0.725,3626,to know,saber,neka/nekatai,KNOW1,
acu,58,58,0.725,3626,to know,saber/conocer,nekáatin,KNOW2,
agr,59,59,0.724,1371,knee,knee,ti'kish-mat,KNEE1,
hub,59,59,0.724,1371,knee,rodilla,tikish,KNEE1,
jiv,59,59,0.724,1371,knee,rodilla,tikish,KNEE1,
acu,59,59,0.724,1371,knee,rodilla,tikísh,KNEE1,
agr,60,59,0.724,671,sand,sand,ka'amatak,NA,
hub,60,59,0.724,671,sand,arena,yaikim,SAND1,
jiv,60,59,0.724,671,sand,arena,NA,NA,
acu,60,59,0.724,671,sand,arena,yáikim,SAND1,
agr,61,61,0.723,1355,to laugh,laugh,du'shi-amu,NA,
hub,61,61,0.723,1355,to laugh,reír,wishit,LAUGH1,
jiv,61,61,0.723,1355,to laugh,reír,wishir,LAUGH1,
acu,61,61,0.723,1355,to laugh,reír,wishírtin,LAUGH1,
agr,62,61,0.723,1408,to hear,hear,antut,HEAR1,
hub,62,61,0.723,1408,to hear,oír/escuchar,antut,HEAR1,
jiv,62,61,0.723,1408,to hear,oír,antuk,HEAR1,
acu,62,61,0.723,1408,to hear,oír (escuchar),antúktin,HEAR1,
